ID,タイトル,問題文,問題の答え,得点,難易度,問題パターン,削除フラグ,登録日時,修正日時
34,パケットキャプチャしたい,「パケットキャプチャしたい・・・」<br> <br> あなたは職場の上司から、<br> 同僚のAさんが不審な通信をしてないか、<br> Aさんに知られずにネットワークの調査をしてほしいと頼まれました。<br> <br> しかしAさんは四六時中パソコンから離れないため、<br> Aさんのパソコンをあなたが直接さわることはできません。<br> <br> そこであなたはAさんのパソコンからインターネットまでのネットワークを<br> キャプチャしようと考えます。<br> 幸いAさんはネットワークが詳しくありませんし、<br> あなたとAさんは同じLANで接続しています。<br> <br> さて、この状況であなたが目的を達成するために、<br> 一番必要となる機器は次の中から選んでください。,4,10,4,20,0,2017-12-27 12:24:12,2017-12-27 12:24:12
35,特定の文字列を探そう,「特定の文字列を探そう」<br> <br> 画像ファイル「hackerz_Level4-1.png」の中から<br> 以下の文字列のAの部分に入っている文字を探して、答えを入力してください。<br> <br> hackerz{A},Enjoy Hack,10,4,40,0,2017-12-27 12:24:12,2017-12-27 12:24:12
36,豆知識,「豆知識」<br><br> あなたは文字が消せるボールペンで書かれたメモを発見しました。しかし既に消されていて文字が読めません。これを復元する方法は次のうちどれでしょう。,3,10,1,20,0,2017-12-27 12:24:12,2017-12-27 12:24:12
37,簡単な暗号を解いてみよう,「簡単な暗号を解いてみよう」<br><br>次の暗号文を解読した結果をひらがなで入力してください。<br><br>fklvklnlkdwlndudqdul,ちしきはちからなり,10,1,10,0,2017-12-27 12:24:12,2017-12-27 12:24:12
38,写真に写っているお店の名前は,「写真に写っているお店の名前は？」<br><br>次の画像は、「ウエスト◯◯店」です。◯◯に入る店名を答えてください。,和白,10,2,40,0,2017-12-27 12:24:12,2017-12-27 12:24:12
39,ファイルの行数をカウントしてみよう,「ファイルの行数をカウントしてみよう」<br><br>次のファイルは何行あるでしょう。<br>ただし、空の行(文字が書かれてない行)はカウント対象に含めません。,8946,10,3,40,0,2017-12-27 12:24:12,2017-12-27 12:24:12
40,WebサーバーのIPアドレスを調べよう,「WebサーバーのIPアドレスを調べよう」<br><br>以下のURLのWebサイトが稼働しているサーバーのIPアドレスを入力してください。<br><br>http://hackers.jpn.org/,219.94.192.72,10,3,10,0,2017-12-27 12:24:12,2017-12-27 12:24:12
41,Webサーバーを稼働しているホスティング・クラウド事業者は,「Webサーバーを稼働しているホスティング・クラウド事業者は？」<br><br>以下のURLのWebサイトが稼働しているサーバーのホスティング・クラウド事業者は次のうちどれでしょう。<br><br>http://hackers.jpn.org/,4,10,3,20,0,2017-12-27 12:24:12,2017-12-27 12:24:12
42,WebサーバーのOSを調べよう,「WebサーバーのOSを調べよう」<br><br>以下のURLのWebサイトが稼働しているサーバーのOSを入力してください。<br><br>http://hackers.jpn.org/,2,10,3,20,0,2017-12-27 12:24:12,2017-12-27 12:24:12
43,特定のネットワークからのアクセスを防いでみよう,「特定のネットワークからのアクセスを防いでみよう」<br><br>あなたが管理しているWebサイトに次のIPアドレスから不正アクセスがあったとします。<br><br>219.94.192.72<br><br>あなたは、このサーバーが所属するネットワークからの全てのアクセスを遮断させたいので、.htaccessの内容を確認したところ以下の設定になっていました。<br><br>order allow deny<br>allow from all<br>deny from 125.64.0.0/13<br>deny from 82.238.88.0/22<br>deny from 62.210.128.0/17<br>deny from 191.96.249.0/24<br><br>この設定に1行だけ追加してアクセスを遮断するには、どのような設定を追加すればよいでしょうか？ 設定内容を入力してください。,deny from 219.94.192.0/24,10,4,10,0,2017-12-27 12:24:12,2017-12-27 12:24:12
44,パケットダンプファイルの解析をしてみよう,「パケットダンプファイルの解析をしてみよう」<br><br>添付のパケットダンプファイルはあるWebサーバとの通信をキャプチャしたものです。<br>このWebサイトのtitleタグの値を入力してください。,Hackerz Lab.博多,10,4,40,0,2017-12-27 12:24:12,2017-12-27 12:24:12
45,パケットダンプファイルからデータを抽出してみよう,「パケットダンプファイルからデータを抽出してみよう」<br><br>添付のパケットダンプファイルはあるWebサーバとの通信をキャプチャしたものです。<br>このキャプチャからjpgファイルを探して復元し、 画像ファイルの中央に書かれている白い文字を入力してください。,ホワイトハッカー養成所HackerzLab.博多,10,5,40,0,2017-12-27 12:24:12,2017-12-27 12:24:12
46,POPの説明,通信プロトコルであるPOPの説明として、適切なものはどれか。,4,10,10,20,0,2018-03-17 16:02:50,2018-03-17 16:02:50
47,不正アクセスを防ぐ,外出先でPCをインターネットに直接接続するとき、インターネットからの不正アクセスを防ぐために使用するものとして、適切なものはどれか。,2,10,10,20,0,2018-03-17 16:02:50,2018-03-17 16:02:50
48,パスワードリスト攻撃,あるWebサイトからIDとパスワードが漏えいし、そのWebサイトの利用者が別のWebサイトで、パスワードリスト攻撃の被害に遭ってしまった。このとき、Webサイトで使用していたIDとパスワードに関する問題点と思われる記述はどれか。,2,10,10,20,0,2018-03-17 16:02:50,2018-03-17 16:02:50
49,認証方式,利用者が、トークンと呼ばれる装置などで生成した毎回異なる情報を用いて、認証を受ける認証方式を何というか。,4,10,10,20,0,2018-03-17 16:02:50,2018-03-17 16:02:50
50,輻輳(ふくそう),ネットワークにおける輻輳(ふくそう)に関する記述として、適切なものはどれか。,3,10,10,20,0,2018-03-17 16:02:50,2018-03-17 16:02:50
51,暗号化に当てはまるもの,次の選択肢の中で暗号化に当てはまるものはどれでしょう,2,10,10,20,0,2018-03-17 16:02:50,2018-03-17 16:02:50
52,暗号文を解読,次の暗号文を解読した結果を入力してください<br><br>Yml0Y29pbg==<br><br>,bitcoin,10,10,10,0,2018-03-17 16:02:50,2018-03-17 16:02:50
53,暗号文を解読その２,次の暗号文を解読した結果を入力して下さい前回の問題からわかりにくい文字列は除外されたもので暗号化しています<br><br>CcoGgs4CvGk<br><br>,Ethereum,10,10,10,0,2018-03-17 16:02:50,2018-03-17 16:02:50
54,ダウンロードして解読,次のファイルをダウンロードして解読してください、aes-256-cbcでのencrypt、passwordはhackerzlabです。,nem,10,10,40,0,2018-03-17 16:02:50,2018-03-17 16:02:50
55,公開鍵は人に見せても,公開鍵は人に見せても大丈夫なものです、僕の公開鍵はネット上に置いてあります。それを見つけ出して鍵本体の最初の5文字を入力してください。 <br>以下アカウント<br> <br>Github: nkchan<br> <br>Twitter: @kaoru_nkchan<br> <br>Facebook: KaoruNagasima<br>,AAAAE,10,10,10,0,2018-03-17 16:02:50,2018-03-17 16:02:50
56,Hash関数の特性,次の選択肢の中でHash関数の特性に当てはまらないものはどれか,4,10,10,20,0,2018-03-17 16:02:50,2018-03-17 16:02:50
57,このHash値が騒動,このHash値が騒動になった仮想通貨はなんでしょう、すべて小文字で入力してください。<br><br>f9c67313230bfc45ba8ffe5e6abeb8b7dc2eddc99c9cebc111fcd7c50d11dc80<br><br>,monero,10,10,10,0,2018-03-17 16:02:50,2018-03-17 16:02:50
58,saltつきHash,次のsaltつきHashのsaltを入力してください<br><br>$6$/Nw1U1kH$FRHN9SWl9kpBOUTmerdnxuiGdUh9GYVPdcCvAit35XBzaUfdTx7w.l1CahRUPTEHFnkV8HD7INRsLisFoybqx.<br><br>,/Nw1U1kH,10,10,10,0,2018-03-17 16:02:50,2018-03-17 16:02:50
59,sha2で何bit,前回の問題のHash値はsha2で何bitでHash化してるでしょうか、ビット数を入力してください,512,10,10,10,0,2018-03-17 16:02:50,2018-03-17 16:02:50
60,2つのファイルはある値が同じ,次のファイルをダウンロードしてください。2つのファイルはある値が同じです、何が同じでしょう、すべて小文字、数字で入力してください,sha1,10,10,40,0,2018-03-17 16:02:50,2018-03-17 16:02:50
61,文字コードに最小限必要なビット数(ITパスポート過去問),A～Zの26種類の文字を表現する文字コードに最小限必要なビット数は幾つか。,2,10,1,20,0,2018-05-12 13:49:43,2018-05-12 13:49:43
62,ワイルドカード検索(ITパスポート過去問),ワイルドカードを使って「*A*.te??」の表現で文字列を検索するとき、つぎの文字列のうち、検索条件に一致するものだけを全て挙げたものはどれか。ここで、ワイルドカードの「?」は任意の1文字を表し、「*」は0個以上の任意の文字から成る文字列を表す。,1,10,1,20,0,2018-05-12 13:49:43,2018-05-12 13:49:43
63,四つの状態(ITパスポート過去問),①～④の番号をもつ四つの状態がある。四つの状態は図のようにつながれており、時計回りや反時計回りに状態を選移することができる。<br> <img src="/static/images/q63.jpg" width="200" height="200"> <br> 現在、状態1にいて、次の手順を2回実施した後はどの状態にいるか。<br> <br> 〔手順〕<br> 今いる状態の番号を11倍し，それを3で割った余りによって次の処理を行う。<br> ・余りが0の場合: 時計回りに一つ次の状態に遷移する。<br> ・余りが1の場合: 反時計回りに一つ次の状態に選移する。<br> ・余りが2の場合: 時計回りに二つ次の状態に選移する。<br>,4,10,1,20,0,2018-05-12 13:49:43,2018-05-12 13:49:43
64,CPUの速度(ITパスポート過去問),32ビットCPU及び64ビットCPUに関する記述のうち、適切なものだけを全て挙げたものはどれか。<br> a: 32ビットCPUと64ビットCPUでは、64ビットCPUの方が取り扱えるメモリ空間の理論上の上限は大きい。<br> b: 64ビットCPUを搭載したPCで動作する32ビット用のOSはない。<br> c: USBメモリの読み書きの速度は、64ビットCPUを採用したPCの方が32ビットCPUを採用したPCよりも2倍速い。<br>,1,10,1,20,0,2018-05-12 13:49:43,2018-05-12 13:49:43
65,クロスサイトスクリプティング(ITパスポート過去問),クロスサイトスクリプティングなどの攻撃でCookieが漏えいすることによって受ける被害の例はどれか。,3,10,1,20,0,2018-05-12 13:49:43,2018-05-12 13:49:43
66,DNSブロッキング,2018年4月23日にNTTによって行われたDNSブロッキングが行われました、DNSブロッキングが行われた3つのサイトは「漫画村」と「Anitube」とあともう一つはなんでしょう。,3,10,1,20,0,2018-05-12 13:49:43,2018-05-12 13:49:43
67,文字列処理をしよう!①,次のファイルをDLして、ファイルの文字数を入力してください(空白、改行コードを含まない)<br><div> <a href="/static/text/vol17/HLHQuiz1.txt" download="HLHQuiz1.txt" class="btn btn-primary btn-lg btn-block">データをダウンロード<br>(右クリックで保存)</a> </div>,2493,10,2,10,0,2018-05-12 13:49:43,2018-05-12 13:49:43
68,文字列処理をしよう!②(総和を求めよう),次のファイルをDLして、ファイルの中の数字の総和を入力してください。それぞれの数字はカンマと改行コードで区切られています。<br><div> <a href="/static/text/vol17/HLHQuiz2.txt" download="HLHQuiz2.txt" class="btn btn-primary btn-lg btn-block">データをダウンロード<br>(右クリックで保存)</a> </div><br>例えば<br> -----<br>3 4<br>1 10<br>-----<br>答えは 18<br>,571,10,2,10,0,2018-05-12 13:49:43,2018-05-12 13:49:43
69,文字列処理をしよう!③(文字数を求めよう),次のファイルをDLして、ファイルのアルファベット(小文字)の文字数を入力してください。<br><div> <a href="/static/text/vol17/HLHQuiz3.txt" download="HLHQuiz3.txt" class="btn btn-primary btn-lg btn-block">データをダウンロード<br>(右クリックで保存)</a> </div>,165,10,2,10,0,2018-05-12 13:49:43,2018-05-12 13:49:43
70,文字列処理をしよう!④(文字数を先頭から),次のファイルをDLして、ファイルの中の文字列「Now I need a drink ...」という文を単語に分解し、各単語の（アルファベットの）文字数を先頭から並べてください<br><div> <a href="/static/text/vol17/HLHQuiz4.txt" download="HLHQuiz4.txt" class="btn btn-primary btn-lg btn-block">データをダウンロード<br>(右クリックで保存)</a> </div>,314159265358979,10,2,10,0,2018-05-12 13:49:43,2018-05-12 13:49:43
71,AWSがBGPハイジャック,4/24にAWSがBGPハイジャックを受けて「MyEtherWallet.com」のユーザーが仮想通貨を盗まれる事件が発生しました、その事態が発生したAWSのクラウドベースのDNSサービスの名前はどれでしょう。,1,10,1,20,0,2018-05-12 13:49:43,2018-05-12 13:49:43
72,どのOSのサイトか探して,IPアドレス `91.189.89.110` は選択肢の中のOSのWebサイトです、どのOSのサイトか探してください。,2,10,2,20,0,2018-05-12 13:49:43,2018-05-12 13:49:43
73,何台つながる？,IPアドレスは複数のクラスに分類されます、そのうちクラスCに分類されるIPは何台のクライアントを接続させることができますか、台数を数字だけで入力してください。,254,10,2,10,0,2018-05-12 13:49:43,2018-05-12 13:49:43
74,パケット解析①(OSは？),次のファイルをダウンロードしてください、この通信の中身を確認するとサーバのOSの種類がわかるのでそれをすべて小文字で入力してください。<br><div> <a href="/static/bin/vol17/HLHQuiz4.cap" download="HLHQuiz4.cap" class="btn btn-primary btn-lg btn-block">データをダウンロード<br>(右クリックで保存)</a> </div>,ubuntu,10,3,10,0,2018-05-12 13:49:43,2018-05-12 13:49:43
75,パケット解析②(なんのコマンド？),次のファイルをダウンロードしてください、ファイルを解析して、クライアントはなんのネットワークコマンドを実行しているかを見つけて、それを入力してください。<br><div> <a href="/static/bin/vol17/HLHQuiz5.cap" download="HLHQuiz5.cap" class="btn btn-primary btn-lg btn-block">データをダウンロード<br>(右クリックで保存)</a> </div>,traceroute,10,3,10,0,2018-05-12 13:49:43,2018-05-12 13:49:43
76,新しいWifiのプロトコル,2018年6月25日(アメリカ時間)に発表された新しいWifiの認証プロトコルは次のうちどれでしょう,2,10,1,20,0,2018-07-01 10:29:51,2018-07-01 10:29:51
77,FQDN,ドメイン名の表記においては、一般的にルートはなんの記号で表されるでしょうか？<br><br>一般にドメインのルートはブラウザや、サーバに補完するので、意識することはありません<br>//詳しい人へ RFCで厳密にはFQDNの定義はされていませんが、そこはとやかく言わずにお願いします,.,10,2,10,0,2018-07-01 10:29:51,2018-07-01 10:29:51
78,ROOTサーバ,世界にあるDNSのrootサーバはいくつでしょう？,13,10,2,10,0,2018-07-01 10:29:51,2018-07-01 10:29:51
79,content typeを探す,http://hackerz.sakura.ne.jp/wp/ のページのcontent typeを入力してください,text/html,10,2,10,0,2018-07-01 10:29:51,2018-07-01 10:29:51
80,日本語URL,http://日本語.jp/ は 内部的にはある文字列に変換されてアクセスされます。どのような文字列に変換されているでしょう。<br>http:// と .jpまで含めて入力してください,http://xn--wgv71a119e.jp,10,2,10,0,2018-07-01 10:29:51,2018-07-01 10:29:51
81,SSD の特性,フラッシュメモリを用いたSSD(Solid State Drive)は、ハードディスクの代わりとして期待されている記憶装置である。このSSDを用いるときに留意すべき点はどれか。,1,10,1,20,0,2018-09-07 12:47:25,2018-09-07 12:47:25
82,互換CPU,互換CPUに関する記述のうち、最も適切なものはどれか。,1,10,1,20,0,2018-09-07 12:47:25,2018-09-07 12:47:25
83,ディジタル署名,ディジタル署名を用いることで可能なことはどれか。,2,10,1,20,0,2018-09-07 12:47:25,2018-09-07 12:47:25
84,購入者に帰属する権利,CD-ROMに記録されたPCのソフトウェアパッケージを購入することによって、購入者に帰属する権利はどれか。,1,10,1,20,0,2018-09-07 12:47:25,2018-09-07 12:47:25
85,マイナンバーの取扱い,企業におけるマイナンバーの取扱いに関する行為a～cのうち、マイナンバー法に照らして適切なものだけを全て挙げたものはどれか<br>a: 従業員から提供を受けたマイナンバーを人事評価情報の管理番号として利用する。<br>b: 従業員から提供を受けたマイナンバーを税務署に提出する調書に記載する。<br>c: 従業員からマイナンバーの提供を受けるときに、その番号が本人のものであることを確認する,4,10,1,20,0,2018-09-07 12:47:25,2018-09-07 12:47:25
86,EU一般データ保護規則,EU一般データ保護規則(General Data Protection Regulation/以下、GDPRという)は、2016年4月27日に採択され、2018年5月25日より適用される、個人情報の保護に関する欧州連合規則である。 <br>GDPRは、EU居住者などの個人情報を取り扱う場合に、EU外に拠点をおく個人や集団にも適用するとされる。 <br>この、法令を自国外の事象に拡大して適用することをなんというか、漢字4字で答えよ。,域外適用,10,3,10,0,2018-09-07 12:47:25,2018-09-07 12:47:25
87,不正指令電磁的記録に関する罪,不正指令電磁的記録に関する罪は、2011年6月に成立し、同7月14日より施行された、情報処理の高度化等に対処するための刑法等の一部を改正する法律による新たな犯罪類型である。 <br>2017年秋頃、特定のスクリプトを設置したWebサイトを閲覧した場合に、閲覧者の計算資源を利用して暗号通貨Moneroの採掘を行い、設置者が利益を獲得する方式が発表された。 <br>2018年6月頃、この特定のスクリプトを自身の運営するWebサイト上に設置し、運用した者数名が警察に検挙された。 <br>この特定のスクリプトの名称を英字8字で答えよ。,coinhive,10,3,10,0,2018-09-07 12:47:25,2018-09-07 12:47:25
88,写真の撮影場所,この写真の撮影場所を特定し、住所の市町村名までを漢字11字で答えよ。<br><div> <a href="/static/bin/vol19/DSC_0327.JPG" download="DSC_0327.JPG" class="btn btn-primary btn-lg btn-block">データをダウンロード<br>(右クリックで保存)</a> </div>,東京都西多摩郡奥多摩町,10,4,10,0,2018-09-07 12:47:25,2018-09-07 12:47:25
89,Apache HTTP Serverのアクセスログ,これは、あるWebサイトを設置しているWebサーバーにおけるApache HTTP Serverのアクセスログの抜粋である。<br>このアクセスログは、ある攻撃の試行を示すものであるが、それは次のうちどれか答えよ。<br><div> <a href="/static/bin/vol19/example.com.access.log" download="example.com.access.log" class="btn btn-primary btn-lg btn-block">データをダウンロード<br>(右クリックで保存)</a> </div>,3,10,5,20,0,2018-09-07 12:47:25,2018-09-07 12:47:25
90,ブラウザの説明,ブラウザの説明としてもっともふさわしいものはどれでしょう,1,10,1,20,0,2019-04-06 14:10:09,2019-04-06 14:10:09
91,拡張子,拡張子について正しいものはどれでしょう,2,10,1,20,0,2019-04-06 14:10:09,2019-04-06 14:10:09
92,パスワード,パスワードとしてもっとも適切なものはどれでしょう,3,10,1,20,0,2019-04-06 14:10:09,2019-04-06 14:10:09
93,ネット上のデータ,インターネット上を流れるデータは第三者に盗聴（盗み見）される恐れがある,1,10,1,20,0,2019-04-06 14:10:09,2019-04-06 14:10:09
94,インストールの説明,インストールの説明として正しいものはどれでしょう。,2,10,1,20,0,2019-04-06 14:10:09,2019-04-06 14:10:09
95,ハードウェアの説明,ハードウェアの説明としてもっともふさわしいものはどれでしょう,1,10,1,20,0,2019-04-06 14:10:09,2019-04-06 14:10:09
96,シーザー暗号で暗号化,次の暗号文はシーザー暗号で暗号化されています。解読してみましょう。EBIIL EXZHBOP,HELLO HACKERS,10,1,10,0,2019-04-06 14:10:09,2019-04-06 14:10:09
97,インターネット,インターネットについて正しいものはどれでしょう。,4,10,1,20,0,2019-04-06 14:10:09,2019-04-06 14:10:09
